headline,category,prediction
Joe Biden Gives Green Bay Packers Fan A Blunt Message For Unvaxxed Aaron Rodgers,POLITICS,0
"Michael Cohen Sues Trump, Accuses Him Of 'Weaponizing' Prison Over Tell-All Memoir",POLITICS,0
"Anti-Vaccine Group Stages A Cheesecake Factory 'Sit-In,' Compare Bartender To Nazi",US_NEWS,1
A Definitive Guide To Airplane Seat Etiquette,TRAVEL,2
Rep. Jim Jordan Admits To Sending One Of The Texts Revealed By Jan. 6 Committee,POLITICS,0
I Can't Self-Care My Way Into Feeling Better Anymore,HEALTH_WELLNESS,1
Is It Dry Skin Or Eczema? Here's How To Tell The Difference.,STYLE_BEAUTY_HOME,2
LeBron James' Age-Defying Leap Makes Fans Jump For Joy,SPORTS,3
House Moves Forward With Criminal Charges Against Mark Meadows,POLITICS,0
Archaic Citizen’s Arrest Laws Led To Ahmaud Arbery’s Death. They’re Still On The Books In Many States.,POLITICS,4
Hannah Brown On Colton Underwood: 'I Like Him Better As A Gay Man',ENTERTAINMENT_MEDIA,3
Britney Spears Shreds Diane Sawyer Over Teary 2003 Interview: 'I Was A Baby',ENTERTAINMENT_MEDIA,3
Candace Parker Reveals She's Married With A Baby On The Way,ENTERTAINMENT_MEDIA,3
Zac Stacy Makes Jaw-Dropping Claim About Alleged Beating Of Ex-Girlfriend,SPORTS,3
Meadows’ ‘Protect Pro Trump People’ Email May Explain Military Reluctance To Deploy Troops,POLITICS,0
Alex Jones Wonders If Joe Biden Used 'Weather Weapons' To Cause Deadly Tornadoes,POLITICS,0
QAnon Believer Who Threatened To Shoot Nancy Pelosi For Trump Sentenced To Prison,POLITICS,0
Chicago Expected To Pay Woman $2.9 Million Over Botched Police Raid,US_NEWS,4
First Amendment Doesn't Protect Lies To Fleece MAGA Backers: Ex-White House Ethics Lawyer,POLITICS,0
2022 Golden Globes Nominations Are Here After A Year Of Controversy And Boycotts,ENTERTAINMENT_MEDIA,3
Fauci Says Those Who Want To Be 'Optimally Protected' Should Get COVID-19 Booster,POLITICS,1
TikTok-Famous Beauty Products From 2021 That Are Actually Worth It,STYLE_BEAUTY_HOME,2
Cris Collinsworth Calls Aaron Rodgers 'Honest' And Fans Can't Honestly Believe It,ENTERTAINMENT_MEDIA,3
Billie Eilish: I Think I Would Have Died From COVID Had I Not Been Vaccinated,ENTERTAINMENT_MEDIA,1
Kate McKinnon Finally Back On 'SNL' As Frustrated Anthony Fauci,ENTERTAINMENT_MEDIA,3
Crews Search For The Missing After Devastating Tornadoes,US_NEWS,4
Explainer: Was Deadly Tornado Storm System Related To Climate Change?,ENVIRONMENT,1
Player In PowerPoint Election Overthrow Plot Reportedly Talked Often With Mark Meadows,POLITICS,0
Billie Eilish Mocks Her Own 'Mrs. Claus Going To The Club' Clothes In 'SNL' Monologue,ENTERTAINMENT_MEDIA,3
Prosecution Rests In Sex-abuse Trial Of Ghislaine Maxwell,CRIME,4
Banksy Creates T-Shirt To Help Alleged Topplers Of Slave Trader Statue,US_NEWS,4
Judge OKs Regulators’ Subpoena For ‘Rust’ Assistant Director,US_NEWS,4
Mark Meadows Hands Over PowerPoint Plan For Trump To Overthrow Election,POLITICS,0
Endangered Right Whale Gives Birth While Entangled In Fishing Gear,ENVIRONMENT,2
"Megan Thee Stallion Graduates From College, Walks Stage At Texas Southern University",ENTERTAINMENT_MEDIA,3
"U.S. Consumer Prices Soared 6.8% In Past Year, Most Since 1982",US_NEWS,2
The Funniest Tweets From Parents This Week (Dec. 4-10),PARENTING_FAMILY,3
Watch Rutgers Star Ron Harper Jr. Make The Buzzer Beater Of The Year,SPORTS,3
Supreme Court Rules To Allow Challenges To Texas Abortion Ban,POLITICS,4
The 20 Funniest Tweets From Women This Week (Dec. 4-10),WOMEN,3
Is It Rude To Send A Cocktail Back?,FOOD_DRINK,2
Tucker Carlson Has A Misogynistic New Take On What COVID-19 Does To People,POLITICS,0
Simone Biles Is Time Magazine's 2021 Athlete Of The Year,US_NEWS,3
Travis Scott Says He'll 'Continue To Show Up' For Astroworld Victims In New Interview,ENTERTAINMENT_MEDIA,3
Pair Of Oxford Shooting Survivors File $100 Million Lawsuit Against District,CRIME,4
Reality TV’s Josh Duggar Convicted Of Child Porn Possession,US_NEWS,3
Camel Beauty Contest Rocked By Botox Scandal,GOOD_WEIRD_NEWS,3
Joining Drag Queens On TV Show Costs Indiana Pastor His Job,ENTERTAINMENT_MEDIA,3
Hundreds Of Black Women In Georgia Will Get $850 Per Month In Guaranteed Income,VOICES,2
Arkansas Becomes 3rd State To Introduce Texas-Style Abortion Ban,POLITICS,4
Ocasio-Cortez Absolutely Wrecks Boebert Over Gun-Themed Christmas Pic,POLITICS,0
"Billionaire Surrenders $70 Million In Plundered Antiquities, Barred From Collecting For Life",US_NEWS,4
Former DC Guard Official Rips 'Unmitigated' Jan. 6 Lies Of Michael Flynn's Brother,POLITICS,0
Republicans Attack Child Care Funding As 'Toddler Takeover',POLITICS,0
Chris Cuomo's Book Pulled By Publisher After His Firing From CNN,US_NEWS,0
Nevada Man Gets 4 Years For Scams Using Fake Trump And Biden PACS,CRIME,0
Major Storm Prompts Warnings Of ‘Catastrophic’ Flooding In Hawaii,US_NEWS,2
UK Police Contacted Over Report Of Cocaine Use In Parliament,POLITICS,4
Former GOP Senator David Perdue Enters Georgia Governor’s Race (UPDATED),POLITICS,0
Bob Dole To Lie In State At U.S. Capitol,POLITICS,4
Myanmar Court Sentences Ousted Leader Aung San Suu Kyi To 4 Years,WORLD_NEWS,4
U.S. Religious Group Says Haitian Gang Releases 3 More Hostages,WORLD_NEWS,4
Pair Of Belgium Zoo Hippos Get COVID In What May Be First Cases For Species,ENVIRONMENT,1
"Trump Social Media Blows Deadline, Still Claims $1 Billion Commitment From Secret Investors",POLITICS,0
Chris Cuomo Denies Sexual Misconduct Allegations Against Him After CNN Firing,POLITICS,0
Spread Your Wings: Vegas Company Offers Tickets To Mile-High Club,US_NEWS,2
"Top Health Officials Share Optimism, Concern On Omicron Variant Of COVID",US_NEWS,1
"Bob Dole, Former Republican Senator And Presidential Nominee, Dies At 98",POLITICS,0
Audiences Go For A Second Helping Of ‘Encanto',ENTERTAINMENT_MEDIA,2
"Michigan Suspect's Parents Found Hiding In Building, Chief Says",US_NEWS,4
Penobscot Nation Members Do Not Want Ancestors' Scalping Whitewashed,US_NEWS,2
Hawaii Gets Blizzard Warning As Denver Remains Snow-Free,ENVIRONMENT,2
"Nicole Kidman Feared She Was Wrong To Play Lucille Ball, Almost Quit Movie",ENTERTAINMENT_MEDIA,3
Joe Biden’s ‘Vaccine Mandate’ Has An Alternative: Weekly Tests,POLITICS,1
Omicron Variant Found In 5 States As Biden Lays Out Plan To Tackle Winter Surge,POLITICS,1
Colorado Supermarket Shooting Suspect Deemed Incompetent For Trial,US_NEWS,4
"Man Arrested In Death Of Jacqueline Avant, Music Icon’s Wife, In Beverly Hills",CRIME,4
President Joe Biden Has A Cold,POLITICS,1
"U.S. Employers Added Sluggish 210,000 Jobs In November",US_NEWS,2
Unvaccinated Nevada State Workers To Pay Monthly Insurance Surcharge,US_NEWS,1
Biden Set To Extend Mask Mandate On Public Transit Through Mid-March: Reports,POLITICS,1
House Passes Government Funding As Senate Republicans Threaten Shutdown Over Vaccines,POLITICS,1
Jan. 6 Committee Votes To Hold Ex-Trump Official Jeffrey Clark In Contempt,POLITICS,0
BuzzFeed News Union Stages Walkout Amid Company's Plans To Go Public,ENTERTAINMENT_MEDIA,0
UK Court Backs Meghan Markle In Dispute Over Privacy With Newspaper Publisher,WORLD_NEWS,3
Florida Man Charged With Killing 21-Year-Old Woman In 1983,US_NEWS,4
1983 AL Cy Young Award Winner LaMarr Hoyt Dies At 66,SPORTS,4
"86 Sports Bettors Get Really Lucky, Allowed To Bet On Game After It Ended",GOOD_WEIRD_NEWS,2
Senate Republicans Threaten Government Shutdown Over ‘Vaccine Mandate’,POLITICS,1
Stacey Abrams Announces Run For Georgia Governor In 2022,POLITICS,4
Officer Charged In Daunte Wright's Death To Testify At Trial,US_NEWS,4
President Joe Biden Reaches Out To Another Child Struggling With A Stutter,POLITICS,0
NYC Becomes First U.S. City To Open Supervised Injection Sites For Drug Users,US_NEWS,4
Court Upholds California's Ban On High-Capacity Gun Magazines,POLITICS,4
"Arlene Dahl, 1950s Screen Star, Dead At 96",ENTERTAINMENT_MEDIA,3
Jussie Smollett's Lawyer Says Actor Is 'A Real Victim' Of Attack,ENTERTAINMENT_MEDIA,3
"Space Junk Too Risky For Astronaut, Spacewalk Delayed",SCIENCE,4
Actor Jussie Smollett Heads To Trial To Face Charges He Lied To Police,CRIME,4
The Best Tools For All Your Hanukkah Frying,FOOD_DRINK,2
"Carrie Meek, Pioneering Black Former Congresswoman, Dies",POLITICS,4
Matthew McConaughey Says He's Decided Not To Run For Texas Governor,POLITICS,3
Merriam-Webster Chooses Vaccine As The 2021 Word Of The Year,US_NEWS,1
Stowaway Found Alive After Flying To Miami In Plane's Landing Gear,US_NEWS,4
Fashion Designer Virgil Abloh Dies Of Cancer At 41,STYLE_BEAUTY_HOME,3
Omar Seeks Action Over Far-Right Congresswoman's Islamophobic Remarks,POLITICS,0
Donations Pour In For Missouri Man Freed After 43 Years Of Wrongful Imprisonment,CRIME,4
"Phil Saviano, Key Clergy Sex Abuse Whistleblower, Dies At 69",US_NEWS,4
"Netherlands, Australia Find Omicron Variant As Restrictions Spread",WORLD_NEWS,1
Climate Activists Blockade Amazon Warehouses Across Europe On Black Friday,WORLD_NEWS,2
"Rare Coin Found In A Candy Tin Sells At Auction For $350,000",US_NEWS,2
Stray Bullet Kills Pennsylvania Man Eating Thanksgiving Dinner,US_NEWS,4
"Stars Of Stage And Screen Pay Heartfelt Tribute To 'Legend, Icon' Stephen Sondheim",ENTERTAINMENT_MEDIA,3
News Crew Security Guard Dies After Being Shot While Helping Robbery Coverage,CRIME,4
More Countries Scramble To Curb Omicron,WORLD_NEWS,1
Survivor Found In Siberian Coal Mine Accident That Likely Killed Dozens,WORLD_NEWS,4
Longtime Brazil Olympic Boss Sentenced To 30 Years For Rio 2016 Corruption,WORLD_NEWS,4
Solomon Islands Leader Blames Foreign Powers Amid Unrest,WORLD_NEWS,4
"FDA Says Merck COVID Pill Effective, Experts Will Review Safety",US_NEWS,1
Stores Kick Off Black Friday But Pandemic Woes Linger,BUSINESS_FINANCE,2
"Polyp Removed From Joe Biden's Colon Was Benign, Potentially Pre-Cancerous",POLITICS,0
Justice Dept. To Prioritize Prosecuting Violence On Flights,POLITICS,4
"Macy’s Thanksgiving Parade Returns, With All The Trimmings",US_NEWS,2
"From Serious To Scurrilous, Some Jimmy Hoffa Theories",US_NEWS,4
Al-Shabab Blast By School In Somali Capital Kills At Least 8,WORLD_NEWS,4
Sweden's First Female Prime Minister Quits Hours After Appointment,WORLD_NEWS,2
Supreme Court Will Hear Dispute Over North Carolina Voter ID Law,POLITICS,4
Migrant Boat Capsizes In English Channel; At Least 31 Dead,WORLD_NEWS,4
White House: 92% Of Fed Workers Under Mandate Are Vaccinated,POLITICS,1
Jury Holds Pharmacies Responsible For Role In Opioid Crisis,US_NEWS,4
More States Expanded Voting Rights In 2021 Than Restricted Them,POLITICS,4
"Foo Fighters, Paul McCartney Nominated For 2 Of The Same Grammys",ENTERTAINMENT_MEDIA,3
Milwaukee’s ‘Dancing Grannies’ Devastated By Parade Crash,POLITICS,4
Michael Strahan Going Into Space Next Month On Blue Origin Flight,ENTERTAINMENT_MEDIA,3
Fed's Powell Will Aim To Win A High-Stakes Bet In 2nd Term,POLITICS,0
"Bus Crashes, Catches Fire In Bulgaria; At Least 45 Dead",WORLD_NEWS,4
GOP Gov. Chris Sununu Says Republicans In Congress Have 'Priorities Screwed Up',POLITICS,0
FAA Proposes Fines For Alcohol-Related Incidents On Planes,US_NEWS,4
Joe Biden Sets $15 Minimum Wage For Federal Contractors,POLITICS,0
Vermont Democratic U.S. Rep. Peter Welch To Run For Patrick Leahy's Senate Seat,POLITICS,2
"Biden To Keep Jerome Powell As Fed Chair, Brainard Gets Vice Chair",POLITICS,0
Biden Goes With Safe Fed Pick Over Nod To Progressives In Face Of Inflation Threat,POLITICS,0
"O’Rourke: Military-Style Weapons, Permitless Carry Prevent Responsible Gun Ownership",POLITICS,0
Chinese Tennis Star Peng Shuai Says She's Safe: Olympic Officials,WORLD_NEWS,3
Virginia's Lt. Gov.-Elect Likens Vaccine Status To Inquiring About One's DNA,POLITICS,0
Tens Of Thousands Protest Belgium's Tighter COVID-19 Rules Amid Spike,WORLD_NEWS,1
Sudan Military Leaders Reinstate Prime Minister Who Was Deposed In Coup,WORLD_NEWS,4
U.S. Church Group: 2 Of 17 Missionary Abductees Freed In Haiti,WORLD_NEWS,4
Young Dolph's Memphis Legacy: 'His Generosity Knew No Bounds',US_NEWS,4
Eddie Bernice Johnson Is Latest U.S. Rep. To Announce Retirement,POLITICS,0
Biden Marks Transgender Day Of Remembrance: 'Each Of These Lives Was Precious',POLITICS,0
Rare First Printing Of U.S. Constitution Sells For Record Figure At Auction,US_NEWS,4
Elizabeth Holmes Takes Stand In Theranos Criminal Fraud Trial,CRIME,3
Washington State Florist Who Rejected Same-Sex Wedding Job Settles With Couple,US_NEWS,3
State Attorneys General Investigating Instagram's Negative Effects On Kids,POLITICS,3
Kyle Rittenhouse Jury Returns For 4th Day Of Deliberations,US_NEWS,4
"Kyle Rittenhouse Jury Wraps Up 3rd Day Of Deliberations, No Verdict Yet",US_NEWS,4
"House Moves Toward OK Of Dems' Sweeping Social, Climate Bill",POLITICS,0
India To Repeal Controversial Farm Laws That Led To Protests,WORLD_NEWS,4
Police In Memphis Hunt For Suspects In Young Dolph’s Killing,CRIME,4
Switzerland Will Allow First Same-Sex Weddings In July 2022,WORLD_NEWS,2
More Americans Than Ever Understand Climate Change Is Real And Harmful,ENVIRONMENT,1
BBC Host Reveals Shocking Homemade Gift He Once Gave A Girlfriend,ENTERTAINMENT_MEDIA,3
Emergency Request Filed As Execution Looms For Julius Jones In Oklahoma,US_NEWS,4
"Under Pressure, Apple Will Allow Self-Repairs To iPhones, Macs",TECH,2
Biden 'Confident' Build Back Better Will Be Passed 'Within A Week',POLITICS,0
Britney Spears Says She Hopes Her Story Will Effect Change In A 'Corrupt System',ENTERTAINMENT_MEDIA,3
"Michael Savarino, Mike Krzyzewski's Grandson Who Plays For Duke, Faces DUI Charge",SPORTS,3
Defense Starts In Trial Over Killing Of Ahmaud Arbery,US_NEWS,4
Senator Amy Klobuchar Shares Good News About Her Breast Cancer Diagnosis,POLITICS,3
Phillie Phanatic Is Back! Team Mascot Settles Legal Dispute,SPORTS,2
"Train Slices Amazon Delivery Truck In Half, Driver Unhurt",US_NEWS,4
San Francisco 49ers Player Makes Incredible 'Buttception',SPORTS,3
Wyoming GOP Says It Won’t Recognize Rep. Liz Cheney As A Republican Anymore,POLITICS,0
Russia Rejects Accusations Of Endangering Astronauts Aboard ISS With Weapons Test,WORLD_NEWS,4
Hitchhiking Roadrunner Somehow Ends Up In Maine,GOOD_WEIRD_NEWS,2
Pfizer Agrees To Let Other Companies Make Its COVID-19 Pill,WORLD_NEWS,1
Sen. Patrick Leahy Not Running For Reelection,POLITICS,0
Thousands Of Military Families Struggling With Food Insecurity,POLITICS,2
2021 MTV EMAs Displays Support For LGBTQ People During Ceremony In Hungary,ENTERTAINMENT_MEDIA,3
U.S. Journalist Danny Fenster Freed From Myanmar Jail With Ex-Diplomat's Aid,WORLD_NEWS,4
"Blast Outside Liverpoool Hospital Was Terrorist Incident, UK Police Say",WORLD_NEWS,4
Joe Biden And Xi Jinping Prepare For First Presidential Meeting,POLITICS,0
"Queen Sprains Back, Misses Remembrance Sunday Service",ENTERTAINMENT_MEDIA,3
"As COVID-19 Surges In Eastern Europe, Leaders Slow To Act",WORLD_NEWS,1
Sen. John Barrasso Refuses To Condemn Trump For Defending 'Hang Mike Pence' Chants,POLITICS,0
Blake Lively Is Making Her Directorial Debut With Taylor Swift's New Music Video,ENTERTAINMENT_MEDIA,3
Adam Schiff: Steve Bannon Indictment Will 'Without A Doubt' Sway Others,POLITICS,0
Disney’s ‘Eternals’ Tops Domestic Box Office For 2nd Weekend,ENTERTAINMENT_MEDIA,2
Steve Bannon Hosts Podcast As 'Bannon Indicted' News Appears On TV Behind Him,POLITICS,0
Kremlin Denies Troop Buildup Near Ukraine Border Signals Plan To Invade,WORLD_NEWS,4
Parkland Students Are Still Trying To Heal While Pushing Gun Reform,POLITICS,4
How Kyrsten Sinema Went From Social Worker To Centrist,POLITICS,0
"Disney Debuts 'Tiana' First Look, Continuing Legacy Of Groundbreaking Princess",ENTERTAINMENT_MEDIA,2
"With Dems' Prized Bill At Stake, A Numbers Game Looms Ahead",POLITICS,0
Good COP Bad COP: Was The UN's Climate Summit Actually A Success?,WORLD_NEWS,2
Sen. Lisa Murkowski Announces Reelection Bid Opposed By Trump,POLITICS,0
"As Virus Surges, Colorado Opens Up COVID Boosters To All Adults",POLITICS,1
Climate Conference Reverses Course On Call To End Coal Use,ENVIRONMENT,2
Myanmar Court Sentences American Journalist Danny Fenster To 11 Years In Jail,ENTERTAINMENT_MEDIA,4
Lizzy Caplan Will Take On Glenn Close's Role In 'Fatal Attraction' TV Remake,ENTERTAINMENT_MEDIA,3
‘13 Going On 30’ Actor Who Played Young Jenna Just Turned 30,ENTERTAINMENT_MEDIA,3
"Death Threats, Tweets Jolt GOP Infrastructure Supporters",POLITICS,0
Judge Overturns Texas Ban On School Mask Mandates In Blow To GOP Governor,POLITICS,4
House Democrats Move To Censure GOP Rep. Paul Gosar Over Violent Video,POLITICS,0
Oklahoma Gov. Orders State To Stop Issuing Nonbinary Birth Certificates,POLITICS,4
Illness Of 'Dolphin Tale' Star Prompts Florida Aquarium To Close 1 Day,ENTERTAINMENT_MEDIA,2
Netflix's 'Single All The Way' Trailer Has Holiday High Jinks And Jennifer Coolidge,ENTERTAINMENT_MEDIA,3
North America's Rarest Mammal Makes 'Surprise Appearance' In Colorado Garage,ENVIRONMENT,2
Jimmy Kimmel Taunts ‘Idiot’ Jan. 6 Rioter Who Begged ‘Cult Leader’ Trump For Help,ENTERTAINMENT_MEDIA,0
"U.S. Should Take Heed Of Europe, Pandemic's New Epicenter, WHO Official Warns",WORLD_NEWS,1
McDonald's Tweet Announcing Mariah Carey Partnership Has Twitter Users Confused,ENTERTAINMENT_MEDIA,3
Nikola Jokic Unleashes 'Nasty Cheap Shot' At Markieff Morris In Ugliest Play Of Season,SPORTS,3
Joe Biden Promised To Take On Saudi Arabia Over Jamal Khashoggi. The Saudis Won.,POLITICS,0
Lance Bass Learns He And Britney Spears Are Related Via Ancestry Research,ENTERTAINMENT_MEDIA,3
Rep. Adam Kinzinger Reportedly Considered Using His Gun During U.S. Capitol Riot,POLITICS,0
Drake Breaks Silence On Astroworld Tragedy: ‘My Heart Is Broken’,ENTERTAINMENT_MEDIA,3
"Trump Officials Repeatedly Violated Hatch Act, Probe Finds",POLITICS,0
"Jan. 6 Committee Subpoenas Trump Campaign Officials, Author Of Infamous ‘Coup Memo’",POLITICS,0
First Lawsuits Filed After Travis Scott Concert Leaves 8 Dead,US_NEWS,4
The Most Popular Shows On Netflix Right Now Besides 'Big Mouth',STYLE_BEAUTY_HOME,2
Jan. 6 Rioter Wanted By The FBI Flees To Belarus,POLITICS,4
Surgeon General: U.S. Is Prepared To Defend COVID Vaccine Rule For Companies,US_NEWS,1
Tension Rising In Iraq After Failed Assassination Bid Of PM,WORLD_NEWS,4
Mourning Starts As Houston Officials Probe Astroworld Concert Deaths,US_NEWS,4
New Jersey Gov. Phil Murphy On Narrow Reelection: ‘There’s A Lot Of Hurt Out There’,POLITICS,0
Iraqi Officials: Prime Minister Survives Assassination Bid,WORLD_NEWS,4
Kieran Culkin Finally Gets The 'SNL' Lift He Hankered For 30 Years Ago,ENTERTAINMENT_MEDIA,3
Republicans Update Their Race-Coded Strategy To Mobilize The Trump Base,POLITICS,0
"Stephen Colbert Spots Real Reason For Josh Hawley’s Porn, Video Games Rant",ENTERTAINMENT_MEDIA,0
Republicans Flip Virginia House of Delegates In Devastating Blow To Democrats,POLITICS,0
8 Dead After Crowd Surge During Travis Scott Set At Astroworld Festival,US_NEWS,4
Prevea Health Ends Partnership With Aaron Rodgers Following Anti-Vaccine Comments,US_NEWS,1
Conservative Pundit Reveals ‘Pretty Darn Simple’ Reason For Glenn Youngkin Victory,POLITICS,0
Republicans Want Parents To Be Angry. Democrats Are Trying To Give Them Money.,POLITICS,0
State GOP Leader Rants About Biden Destroying America With… Mass Vaccinations,POLITICS,0
The Sephora 2021 Sale Starts Today. Here's What Experts Say Is Worth Grabbing,STYLE_BEAUTY_HOME,2
California School District Disciplines Teacher For Telling Students Trump Is Still President,POLITICS,0
Billy Joel Calls Taylor Swift Her ‘Generation’s Beatles’,ENTERTAINMENT_MEDIA,3
Trevor Noah Reveals What Kim Kardashian And Pete Davidson Can Teach Us About GOP Win,POLITICS,0
Kyle Rittenhouse Juror Dismissed Over Racist 'Joke' About Jacob Blake Shooting,US_NEWS,4
James Carville Rips Democrats Over Election Losses: Some Need ‘Woke Detox Center’,POLITICS,0
"Britney Spears' Mother Makes Legal Claim, Heightening Family Drama",ENTERTAINMENT_MEDIA,3
Iconic Clint Eastwood Western Gets Dubbed In Navajo,ENTERTAINMENT_MEDIA,2
Ted Cruz Gets Fact-Checked To His Face On Fox News Over 'Domestic Terrorist' Lie,POLITICS,0
"Zillow Ending Home-Flipping Business, Will Lay Off 25% Of Staff",US_NEWS,2
"Small, Fun And Colorful Christmas Trees Perfect For Tiny Spaces",STYLE_BEAUTY_HOME,2
Thanksgiving Without Turkey? A Valid Argument For Skipping The Bird.,FOOD_DRINK,2
Biden Says Virginia Race Wasn't Blowback Against Him,POLITICS,0
Ohio Introduces An Even More Extreme Texas-Style Abortion Ban,POLITICS,4
High School Football Team Beats Rival So Badly Principal Apologizes,SPORTS,4
Lauren Boebert’s Attempt To Troll Greta Thunberg Goes Up Like Earth's Temperature,POLITICS,3
Do I Need To Wear A Mask If A Place Requires Proof Of COVID Vaccination?,HEALTH_WELLNESS,1
Where To Order Thanksgiving Desserts That Can Be Shipped To Your Door,FOOD_DRINK,2
Prosecutor Says Kyle Rittenhouse Instigated Kenosha Bloodshed,US_NEWS,4
'Amazing' Dogs Work Together To Save Owner Who Collapsed,GOOD_WEIRD_NEWS,2
North Carolina Police Detective Fired After Allegedly Planting Fake Drugs On Black Men,CRIME,4
Supreme Court Hears Challenges To Texas Law Banning Most Abortions,US_NEWS,4
Barclays CEO Jes Staley Steps Down Over Links To Jeffrey Epstein,WORLD_NEWS,3
Biden Says U.S. Will Lead During 'Decisive Decade' For Climate,POLITICS,0
10 Cookbooks That’ll Take The Stress Out Of Cooking Thanksgiving Dinner,FOOD_DRINK,2
This Desert May Contain Secrets To Avoiding Climate Famine,ENVIRONMENT,2
Virginia Democrats Fight To Keep Control Of The State Legislature As Polls Tighten,POLITICS,0
Jen Psaki Tests Positive For COVID-19: 'Grateful I Am Vaccinated',POLITICS,1
’19 Kids And Counting’ Father Running For Arkansas Senate,POLITICS,0
Southwest Airlines Pilot Told Passengers 'Let's Go Brandon' In Anti-Biden Dig: Reporter,US_NEWS,0
"Rep. Adam Kinzinger Rips GOP As Party Of Lies, Conspiracy, Dishonesty",POLITICS,0
Potential Jurors See Racism Behind Ahmaud Arbery's Slaying,VOICES,4
University Of Florida Prohibits Professors From Testifying In Voting Rights Case,POLITICS,4
"Alec Baldwin Speaks On 'Rust' Shooting, Says Halyna Hutchins 'Was My Friend'",POLITICS,3
Stephen Colbert Jabs COVID-19 Anti-Vaxxers With Bloodsucking Halloween Card,ENTERTAINMENT_MEDIA,1
"Seth Meyers Hits Ted Cruz, Marjorie Taylor Greene With Halloween Costume Ideas",ENTERTAINMENT_MEDIA,0
Texas Cops 'Laughed' As Biden Aides Pleaded For Help From Trucker 'Trump Train' Last Year: Lawsuit,POLITICS,0
A Carnival Of Errors Led To Alec Baldwin's 'Rust' Shooting,ENTERTAINMENT_MEDIA,4
Democrats Are Close To Implementing Big Fines For Illegal Union Busting,POLITICS,0
Supreme Court To Consider Limiting EPA's Power To Regulate Climate-Changing Gases,POLITICS,4
California Condors Can Have 'Virgin Births': Study,GOOD_WEIRD_NEWS,2
'Rust' Armorer Has 'No Idea' Where Live Rounds On Movie Set Came From: Lawyers,US_NEWS,4
"Sean Spicer Rips Joe Biden For Something Donald Trump Did Many, Many Times",POLITICS,0
Spot The Difference Between Fox News' Coverage Of Anti-Vaccine And BLM Protests,ENTERTAINMENT_MEDIA,0
"10 Ways To Alleviate Tech Neck, According To Experts",HEALTH_WELLNESS,2
Prosecutors Drop Felony Charge Against Man Accused Of 43 Cent Soda Theft,US_NEWS,4
German Electrician On Trial For Castrating Men On His Kitchen Table,CRIME,4
No White House Treats For Halloween This Year,POLITICS,0
"The Thanksgiving Cooking Tools You Always Need, But Forget To Buy",FOOD_DRINK,2
Remains Found In California Desert Identified As Missing Woman Lauren Cho,US_NEWS,4
Kimmel Exposes Biggest Anti-Vaxxer 'Pandummies' In Scathing New Supercut Video,ENTERTAINMENT_MEDIA,1
Conservative Pundit Points Out Where Real Blame For GOP’s ‘Descent Into Madness’ Lies,POLITICS,0
Fox News's 'Craziest Trump Lie Yet' Revealed In 'Late Show' Segment,ENTERTAINMENT_MEDIA,0
'Rust' Assistant Director Didn't Properly Inspect Gun Given To Alec Baldwin: Affidavit,ENTERTAINMENT_MEDIA,4
Is It Safe To Host Thanksgiving This Year? 6 Precautions To Take,FOOD_DRINK,2
Containers That Are Perfect For Storing Your Thanksgiving Leftovers In,FOOD_DRINK,2
‘Tell The Truth Or Your 3 Kids Will Be Fatally Shot': Election Officials Detail Threats,POLITICS,0
The Muppets' Electric Mayhem Drop Epic Cover Of A Rock Classic,ENTERTAINMENT_MEDIA,3
Getting A Real Christmas Tree This Year? Here's What You Should Know.,STYLE_BEAUTY_HOME,2
Miami Herald Pulls No Punches With Stinging Gov. Ron DeSantis Editorial,POLITICS,1
Republicans Go To Bat For Billionaires Targeted By Democratic Tax Plan,POLITICS,0
The Exact Amount Of Halloween Candy You Can Eat Before It's Lethal,FOOD_DRINK,2
Cody Rigsby Explains Why 'Dancing With The Stars' Didn't Partner Him With A Man,ENTERTAINMENT_MEDIA,3
"Jacob 'Jake' Cefolia, United Airlines Executive Who Went Missing In 2020, Found Dead",US_NEWS,4
How 'Pretty Smart' Allowed Michael Hsu Rosen To Embrace His Gay Asian Identity,ENTERTAINMENT_MEDIA,3
Dr. Anthony Fauci Says 5- To 11-Year-Olds Could Get Pfizer COVID-19 Shot By Early November,POLITICS,1
"Ed Sheeran Has COVID, Will Do Performances From Home",ENTERTAINMENT_MEDIA,1
Neil Cavuto Begs Fox News Viewers To Think Of Others And Get Vaccinated,POLITICS,0
'Joe Biden' Meets His Cool Jason Sudeikis Self On 'Saturday Night Live',ENTERTAINMENT_MEDIA,0
Coding Developer Seeks 'Legal Counsel' As Trump Social Media Appears To Violate License,POLITICS,0
'SNL' Would Like You To Meet Jason Sudeikis As 'Male Ellen' — Or Mellen,ENTERTAINMENT_MEDIA,3
"James Michael Tyler, Who Played Gunther In ‘Friends,’ Dies At Age 59",ENTERTAINMENT_MEDIA,2
Rep. Alexandria Ocasio-Cortez Asks Buffalo To Elect ‘Badass’ India Walton As Mayor,POLITICS,0
What We Know (And Don't Know) About How Alec Baldwin Fatally Shot Halyna Hutchins,ENTERTAINMENT_MEDIA,4
"Andie MacDowell Busts The Wildest Rumor About Herself: 'Really, I Am?'",ENTERTAINMENT_MEDIA,3
Elusive Owl Caught On Camera After Flying Under Radar For 150 Years,ENVIRONMENT,2
